"electrd_fosiles","electrd_de_f_bajas_carb","energ_renov","PIB_per_cap","densidad_pobl_Km2","region"
0.18,70.96774,50.06,2069.317455,49,"Oceania"
0.17,74.62686,40.44,2030.246351,49,"Oceania"
0.21,70.42254,48.98,2248.714191,49,"Oceania"
0.31,56.944443,40.83,2818.91392,49,"Oceania"
0.31,58.666668,35.72,3311.159895,49,"Oceania"
0.37,53.164555,40.02,3627.632856,49,"Oceania"
0.39,53.57143,39.07,3715.932657,49,"Oceania"
0.27,68.96552,36.04,4040.152119,49,"Oceania"
0.26,70.454544,40.89,4167.694935,49,"Oceania"
0.28,67.44186,40.09,3362.820495,49,"Oceania"
0.35,61.111115,26.49,3652.535933,49,"Oceania"
0.3,65.11628,31.15,4371.447385,49,"Oceania"
0.24,72.093025,31.73,4591.577015,49,"Oceania"
0.27,69.318184,32.81,4840.72727,49,"Oceania"
0.38,58.241753,33.17,5605.609148,49,"Oceania"
0.43,55.208332,32.74,5390.714207,49,"Oceania"
0.36,62.500004,27.68,5651.272721,49,"Oceania"
0.41,60.952385,28.55,6101.02389,49,"Oceania"
0.38,65.13761,25.8,6317.41372,49,"Oceania"
0.42,62.83186,26.48,6175.890653,49,"Oceania"
181.05,8.634437,8.42,21697.70848,3,"Oceania"
194.33,8.218014,8.37,19527.32358,3,"Oceania"
197.29,8.0833025,8.74,20117.78889,3,"Oceania"
195.13,8.659832,7.15,23492.40517,3,"Oceania"
203.66,8.701304,6.68,30513.94174,3,"Oceania"
195.95,9.156236,6.71,34080.9999,3,"Oceania"
198.72,9.63576,6.85,36117.48798,3,"Oceania"
208.59,9.119031,6.95,41001.14298,3,"Oceania"
211.06,8.05489,6.79,49654.9106,3,"Oceania"
216.42,7.804379,7.15,42783.32257,3,"Oceania"
212.5,9.044215,8.16,52087.97229,3,"Oceania"
213.56,11.3454275,8.32,62574.1457,3,"Oceania"
206.75,11.410575,8.29,68027.84171,3,"Oceania"
195.78,14.870858,9.21,68156.62792,3,"Oceania"
205.46,14.96213,9.32,62511.69059,3,"Oceania"
197.72,14.3476,9.31,56707.02208,3,"Oceania"
207.66,15.609379,9.42,49881.76371,3,"Oceania"
209.14,16.313873,9.69,53934.25018,3,"Oceania"
207.45,17.145937,9.67,57180.7794,3,"Oceania"
196.45,21.37597,10.13,54875.28596,3,"Oceania"
0.05,50,59.69,1542.066736,70,"Oceania"
0.05,54.545456,52.41,1556.999425,70,"Oceania"
0.05,58.333336,49.58,1633.007661,70,"Oceania"
0.05,54.545456,52.41,1909.154441,70,"Oceania"
0.05,54.545456,48.82,2353.455973,70,"Oceania"
0.05,54.545456,48.89,2590.489858,70,"Oceania"
0.06,45.454544,45.96,2796.601169,70,"Oceania"
0.06,45.454544,43.18,3133.671327,70,"Oceania"
0.06,45.454544,44.87,3378.953029,70,"Oceania"
0.06,45.454544,43.28,3168.228207,70,"Oceania"
0.06,45.454544,41.28,3566.42836,70,"Oceania"
0.07,41.666668,40.26,3932.105847,70,"Oceania"
0.07,36.363636,40.26,4020.959844,70,"Oceania"
0.08,27.272728,42.61,4037.813829,70,"Oceania"
0.09,25,41.24,3937.186246,70,"Oceania"
0.09,30.769232,37.47,4071.926959,70,"Oceania"
0.09,35.714287,36.82,4109.663228,70,"Oceania"
0.09,35.714287,35.79,4258.978767,70,"Oceania"
0.09,40,36.63,4187.504729,70,"Oceania"
0.09,40,34.21,4322.868457,70,"Oceania"
44.11,14.581719,2.5,1229.001247,7,"Asia Central"
47.3,14.590104,2.41,1490.92709,7,"Asia Central"
49.44,15.240871,2.77,1658.030785,7,"Asia Central"
55.24,13.498278,2.28,2068.123979,7,"Asia Central"
58.89,12.0388365,1.89,2874.288483,7,"Asia Central"
60.06,11.572438,2.09,3771.278957,7,"Asia Central"
63.89,10.842869,2.13,5291.575305,7,"Asia Central"
68.45,10.663012,1.83,6771.414797,7,"Asia Central"
72.89,9.284381,1.15,8458.017154,7,"Asia Central"
71.85,8.738727,1.31,7165.223175,7,"Asia Central"
74.63,9.703569,1.38,9070.488253,7,"Asia Central"
78.7,9.101409,1.38,11634.0012,7,"Asia Central"
82.98,8.43081,1.33,12386.69927,7,"Asia Central"
84.88,8.34683,1.16,13890.63096,7,"Asia Central"
86.37,8.738378,1.34,12807.26069,7,"Asia Central"
82.2,10.310966,1.72,10510.77189,7,"Asia Central"
82.65,12.659833,2.07,7714.841844,7,"Asia Central"
91.48,11.28782,2.02,9247.581331,7,"Asia Central"
96.36,10.170598,1.88,9812.626371,7,"Asia Central"
95.39,10.415101,1.7,9812.595808,7,"Asia Central"
0,100,91.4,718.196337,20,"Asia Central"
0,100,91.75,764.4328082,20,"Asia Central"
0,100,91.2,845.5006721,20,"Asia Central"
0,100,91.92,962.0953713,20,"Asia Central"
0,100,93.46,1068.431811,20,"Asia Central"
0,100.00001,91.67,1228.432356,20,"Asia Central"
0,100,91.92,1330.977444,20,"Asia Central"
0,100,92.07,1757.190496,20,"Asia Central"
0,100,91.81,1828.154677,20,"Asia Central"
0,100,92.38,1819.19731,20,"Asia Central"
0,100,90.8,2258.186435,20,"Asia Central"
0,100,89.01,2563.261224,20,"Asia Central"
0,100,87.32,2538.949519,20,"Asia Central"
0,100,86.7,2472.724753,20,"Asia Central"
0,100,86.54,2652.225654,20,"Asia Central"
0,100,86.68,2752.630172,20,"Asia Central"
0,100,85.02,2930.574923,20,"Asia Central"
0,100,83.63,3286.596744,20,"Asia Central"
0,100,82.22,3243.477437,20,"Asia Central"
0,100,82.27,3322.863329,20,"Asia Central"
3.28,49.14729,64.16,869.696285,341,"Asia Central"
3.44,47.32006,62.93,832.8035723,341,"Asia Central"
4.12,39.411762,62.1,867.4914868,341,"Asia Central"
4.14,44.129555,61.31,982.195697,341,"Asia Central"
4.94,37.309643,61.61,1065.784437,341,"Asia Central"
5.5,38.409855,60.08,1248.698185,341,"Asia Central"
4.55,45.897743,62.18,1435.816813,341,"Asia Central"
5.57,41.430073,60.2,1630.388906,341,"Asia Central"
5.46,43.243244,61.58,2037.322103,341,"Asia Central"
5.67,40.998962,63.51,2090.401826,341,"Asia Central"
4.76,54.44976,61.85,2799.648738,341,"Asia Central"
6.47,42.180515,59.25,3200.861132,341,"Asia Central"
7.89,30.606861,60.7,3350.521876,341,"Asia Central"
4.52,61.234993,59.88,3610.289363,341,"Asia Central"
7.1,40.685043,57.31,3819.25353,341,"Asia Central"
6.38,49.842766,52.89,3843.780672,341,"Asia Central"
9.01,34.185535,50.92,3886.291502,341,"Asia Central"
10.1,31.245747,49.33,4077.043841,341,"Asia Central"
7.92,47.058823,51.4,4059.20823,341,"Asia Central"
10.18,35.934547,49.91,3852.265603,341,"Asia Central"
